key,code,details,difficulty-level,creation-moment,update-moment,link,time,draft-mode,key:project,key:developer
module-21,JFL-681,Sed ut perspiciatis unde omnis,BASIC,2022/07/30 00:00,2020/04/04 14:35,https://example.com/objective,20,false,project-01,developer-01
module-22,SFB-458,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/12/31 23:59,https://example.com/objective,20,false,project-01,developer-01
module-23,APS-127,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2021/01/01 00:00,https://example.com/objective,20,false,project-01,developer-01
module-24,VWX-567,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/02/29 14:35,https://example.com/objective,20,false,project-01,developer-01
module-25,LMA-125,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2000/01/01 00:00,https://example.com/objective,20,false,project-01,developer-01
module-26,LMA-452,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2000/01/01 00:01,https://example.com/objective,20,false,project-01,developer-01
module-27,LMA-928,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2022/07/29 23:59,https://example.com/objective,20,false,project-01,developer-01
module-28,LMA-922,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/07/30 00:00,https://example.com/objective,20,false,project-01,developer-01
module-29,RST-382,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-30,RST-289,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/04/19 14:54,ftp://a,20,false,project-01,developer-01
module-31,JEN-890,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/04/19 14:54,ftp://a.b,20,false,project-01,developer-01
module-32,JEN-891,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/04/19 14:54,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",20,false,project-01,developer-01
module-33,JEN-898,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/04/19 14:54,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",20,false,project-01,developer-01
module-34,SFP-324,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/04/19 14:54,ftp://www.lorem-ipsum.org,1,false,project-01,developer-01
module-35,ASD-762,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/04/19 14:54,null,2,true,project-01,developer-02
module-36,ASD-761,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,9999,true,project-01,developer-02
module-37,ASD-763,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,10000,true,project-01,developer-02
