key,code,title,abstract-string,indication,cost,link,draft-mode,key:manager
project-16,XYZ-3333,Task Management Tool Integration,<h1>hacked</h1>,false,10,http://www.example.com,false,manager-01
project-17,XYZ-4444,Task Management Tool Integration,АБХجحذسعف汉书من你好吗РСТУШДذرزطظآحخدشصЮЯОПРСТУكلمة美女,false,10,http://www.example.com,false,manager-01
project-18,XYZ-5555,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,0,http://www.example.com,false,manager-01
project-19,XYZ-6666,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,1,http://www.example.com,false,manager-01
project-20,XYZ-7777,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,5000,http://www.example.com,false,manager-01
project-21,XYZ-8888,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,9999,http://www.example.com,false,manager-01
project-22,XYZ-9999,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10000,http://www.example.com,false,manager-01
project-23,XYZ-1000,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,null,false,manager-01
project-24,XYZ-2000,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,ftp://a,false,manager-01
project-25,XYZ-3000,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,ftp://a.b,false,manager-01
project-26,XYZ-4000,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",false,manager-01
project-27,XYZ-5000,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",false,manager-01
project-28,XYZ-6000,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,https://www.lorem-ipsum.org,false,manager-01
project-29,XYZ-7000,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,ftp://www.lorem-ipsum.org,false,manager-01
project-30,XYZ-8000,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,http://www.lorem-ipsum.org/dolor/sit.html,false,manager-01
project-31,XYZ-9000,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,http://www.lorem-ipsum.org/dolor/sit.html#dolor,false,manager-01
project-32,XYZ-9100,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,http://example.org?a=1&b=2,false,manager-01
project-33,XYZ-9200,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,http://example.org?,false,manager-01
project-34,XYZ-9300,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,http://example.org?a,false,manager-01
project-35,XYZ-9400,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,http://example.org?a&b,false,manager-01
project-36,XYZ-9500,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,http://example.org/,false,manager-01
project-37,XYZ-9600,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,http://example.org/a,false,manager-01
project-38,XYZ-9700,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,http://example.org/a/b,false,manager-01
project-39,XYZ-9800,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,http://example.org/a/b?,false,manager-01
project-40,XYZ-9900,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,false,10,http://example.org/a/b?a&b,false,manager-01
project-41,XYZ-9910,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,true,10,http://www.example.com,true,manager-01
